Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reports/bounds,189,0,8700,8633.904437036204,612.4632999999449,20381.073100026697,62445.05291005291,2.136087915446533,0.0,8700,8800,8900,8900,9200,9600,16000,19000,20000,20000,20000
,Aggregated,189,0,8700,8633.904437036204,612.4632999999449,20381.073100026697,62445.05291005291,2.136087915446533,0.0,8700,8800,8900,8900,9200,9600,16000,19000,20000,20000,20000
