Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /bounds (Random Box),76,0,20000.0,20176.403260528645,8263.701800024137,26894.895900040865,57606.23684210526,0.42989228002121016,0.0,20000,21000,21000,21000,25000,26000,27000,27000,27000,27000,27000
GET,GET /nearby (Gangnam Hotspot),236,0,20000.0,19982.30939279497,7857.046400022227,27097.644399967976,29733.27966101695,1.3349286590132317,0.0,20000,20000,21000,21000,24000,25000,27000,27000,27000,27000,27000
GET,GET /nearby (Random Seoul),78,0,20000.0,19790.200308975705,8267.852500022855,26893.106000032276,31088.28205128205,0.44120523475861045,0.0,20000,20000,21000,21000,24000,26000,27000,27000,27000,27000,27000
,Aggregated,390,0,20000.0,19981.71099640998,7857.046400022227,27097.644399967976,35435.933333333334,2.206026173793052,0.0,20000,20000,21000,21000,24000,26000,27000,27000,27000,27000,27000
