Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reports/bounds,226,0,7300.0,7339.150301773158,869.5004999171942,17930.29960000422,62391.62831858407,2.5248874385158593,0.0,7300,7400,7600,7600,7700,7800,14000,16000,18000,18000,18000
,Aggregated,226,0,7300.0,7339.150301773158,869.5004999171942,17930.29960000422,62391.62831858407,2.5248874385158593,0.0,7300,7400,7600,7600,7700,7800,14000,16000,18000,18000,18000
