Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reports/bounds,2074,0,460.0,643.550253688905,225.45970900682732,2637.4238330172375,61530.98071359692,23.101718674401937,0.0,460,570,750,850,1200,1400,1900,2100,2600,2600,2600
,Aggregated,2074,0,460.0,643.550253688905,225.45970900682732,2637.4238330172375,61530.98071359692,23.101718674401937,0.0,460,570,750,850,1200,1400,1900,2100,2600,2600,2600
