Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/reports/bounds,177,0,8800.0,9142.176980796628,1026.9147999351844,24002.23680003546,62455.19774011299,1.9945060209599965,0.0,8800,9300,9400,9700,11000,12000,19000,23000,24000,24000,24000
,Aggregated,177,0,8800.0,9142.176980796628,1026.9147999351844,24002.23680003546,62455.19774011299,1.9945060209599965,0.0,8800,9300,9400,9700,11000,12000,19000,23000,24000,24000,24000
